series,Units,date,price
India (14.2 kg subsidized) - Mumbai ,INR/cylinder,2016-01-01,454.0
India (14.2 kg subsidized) - New Delhi ,INR/cylinder,2016-01-01,434.5
India (14.2 kg unsubsidized) - New Delhi ,INR/cylinder,2016-01-01,608.0
India (5 kg subsidized) - New Delhi ,INR/cylinder,2016-01-01,156.0
India (5 kg unsubsidized) - Mumbai ,INR/cylinder,2016-01-01,245.0
India (5 kg unsubsidized) - New Delhi ,INR/cylinder,2016-01-01,240.0
Israel (LPG) - prices at refinery gate excluding taxes and duties,ILS/kg,2016-01-01,1.60109
Jamaica (Butane),JMD/liter,2016-01-01,37.5575
Jamaica (Propane),JMD/liter,2016-01-01,30.3625
Jordan (LPG - 12.5kg),JD/CY,2016-01-01,7.0
Lebanon (LPG 10kg),LBP/cylinder,2016-01-01,12400.0
Malaysia,RM/kg,2016-01-01,1.9
Malaysia (10 kg cylinder),RM/cylinder,2016-01-01,19.0
Malaysia (12kg cylinder),RM/cylinder,2016-01-01,22.8
Malaysia (14kg cylinder),RM/cylinder,2016-01-01,26.6
Martinique (LPG 12.5 kg cylinder),Eur/cylinder,2016-01-01,20.08
Mozambique,metical/kg,2016-01-01,55.46
Nicaragua (LPG 25lb),córdobas/cylinder,2016-01-01,211.21323529411765
Niger (12.5 kg cylinder),XOF/cylinder,2016-01-01,3750.0
Niger (3 kg cylinder),XOF/cylinder,2016-01-01,900.0
Niger (6 kg cylinder),XOF/cylinder,2016-01-01,1800.0
Niger (per kg),XOF/kg,2016-01-01,300.0
Nigeria (5kg cylinder refilling) - Abuja,NGN/cylinder,2016-01-01,1900.0
Nigeria (5kg cylinder refilling) - Lagos,NGN/cylinder,2016-01-01,1835.71428571428
Nigeria (5kg cylinder refilling)- Kano,NGN/cylinder,2016-01-01,2000.0
Peru (Petroperu Calla district where Lima is),soles/gallon,2016-01-01,1.85
Senegal (6kg cylinder),XOF/cylinder,2016-01-01,3090.0
Syria (LPG subsidized 10kg),lira/cylinder,2016-01-01,1800.0
Thailand (LPG cooking) - Ex-refinery Price,Baht/kg,2016-01-01,15.20501935483871
Thailand (LPG cooking) - Retail Price,Baht/kg,2016-01-01,22.29
Thailand (LPG industry) - Ex-refinery Price,Baht/kg,2016-01-01,15.20501935483871
Thailand (LPG industry) - Retail Price,Baht/kg,2016-01-01,22.29
