series,Units,date,price
Fiji (4.5kg cylinder) ,Fiji dollar per cylinder,2017-07-03,12.67
Fiji (LPG per kg wholesale),Fiji dollar per kg,2017-07-03,2.39
Gabon (12.5kg cylinder),XAF/cylinder,2017-07-03,5450
Ghana (based on biweekly price survey),GHS/kg,2017-07-03,4.275789872398352
Grenada - LPG 20 lb cylinder ,EC$/cylinder,2017-07-03,40
Grenada - LPG 20 lb cylinder - Petrocaribe,EC$/cylinder,2017-07-03,37
Guatemala  - country regulated price (LPG 25lb cylinder,Q/Cylinder,2017-07-03,105
Honduras (LPG 25lb),HNL/cylinder,2017-07-03,263.07
India (14.2 kg subsidized) - Mumbai ,INR/cylinder,2017-07-03,488
India (14.2 kg subsidized) - New Delhi ,INR/cylinder,2017-07-03,473
India (14.2 kg unsubsidized) - Mumbai ,INR/cylinder,2017-07-03,553.5
India (14.2 kg unsubsidized) - New Delhi ,INR/cylinder,2017-07-03,564
India (5 kg unsubsidized) - New Delhi ,INR/cylinder,2017-07-03,208
Israel (LPG) - prices at refinery gate excluding taxes and duties,ILS/kg,2017-07-03,1.31748365
Jamaica (Butane),JMD/liter,2017-07-03,46.3275
Jamaica (Propane),JMD/liter,2017-07-03,40.3925
Jordan (LPG - 12.5kg),JD/CY,2017-07-03,7
Lebanon (LPG 10kg),LBP/cylinder,2017-07-03,12550
Malaysia,RM/kg,2017-07-03,1.9
Malaysia (10 kg cylinder),RM/cylinder,2017-07-03,19
Malaysia (12kg cylinder),RM/cylinder,2017-07-03,22.8
Malaysia (14kg cylinder),RM/cylinder,2017-07-03,26.6
Martinique (LPG 12.5 kg cylinder),Eur/cylinder,2017-07-03,20.76
Mexico  - Baja California Region (Tijuana),peso/kg,2017-07-03,17.82900796577723
Mexico  - Mexico Region,peso/kg,2017-07-03,14.774028058898875
Mexico  - Mexico City,peso/kg,2017-07-03,14.644873833851754
Mozambique,metical/kg,2017-07-03,50.74
Nicaragua (LPG 25lb),córdobas/cylinder,2017-07-03,286.7352941176471
Niger (12.5 kg cylinder),XOF/cylinder,2017-07-03,3750
Niger (3 kg cylinder),XOF/cylinder,2017-07-03,900
Niger (6 kg cylinder),XOF/cylinder,2017-07-03,1800
Niger (per kg),XOF/kg,2017-07-03,300
Nigeria (5kg cylinder refilling) - Abuja,NGN/cylinder,2017-07-03,2150
Nigeria (5kg cylinder refilling) - Lagos,NGN/cylinder,2017-07-03,2135.77
Nigeria (5kg cylinder refilling)- Kano,NGN/cylinder,2017-07-03,2200
Peru (Petroperu Calla district where Lima is),soles/gallon,2017-07-03,1.81
Senegal (6kg cylinder),XOF/cylinder,2017-07-03,2885
South Africa - Coastal Regions,South African cents/kg,2017-07-03,1864
South Africa - Gauteng Region,South African cents/kg,2017-07-03,2053
Syria (LPG subsidized 10kg),lira/cylinder,2017-07-03,2500
Thailand (LPG cooking) - Ex-refinery Price,Baht/kg,2017-07-03,13.852925806451612
Thailand (LPG cooking) - Retail Price,Baht/kg,2017-07-03,20.49
Thailand (LPG industry) - Ex-refinery Price,Baht/kg,2017-07-03,13.852925806451612
Thailand (LPG industry) - Retail Price,Baht/kg,2017-07-03,20.49
Thailand (LPG low income hh) - Ex-refinery Price,Baht/kg,2017-07-03,13.852925806451612
Thailand (LPG low income hh) - Retail Price,Baht/kg,2017-07-03,18.13
Togo (12.5kg bottle),XOF/cylinder,2017-07-03,6500
Togo (6kg bottle),XOF/cylinder,2017-07-03,3120
Uruguay,UYU/kg,2017-07-03,37.80 
West Bank & Gaza (LPG 12kg),Sheker/Cylinder,2017-07-03,54
West Bank & Gaza (LPG 48kg),Sheker/Cylinder,2017-07-03,216
West Bank & Gaza (LPG 5kg),Sheker/Cylinder,2017-07-03,23
Angola (LPG) ,kwanzas/kg,2017-08-03,100
Belize (100 lbs),BEL$/cylinder,2017-08-03,99.92
Benin (LPG 12.5 Kg) -Cotonou ,XOF/cylinder,2017-08-03,6000
Benin (LPG 6kg) -Cotonou ,XOF/cylinder,2017-08-03,3000
Brazil (LPG 13 kg bottle) - Country Average,R$/13kg,2017-08-03,57.601
Brazil (LPG 13 kg bottle) - Distrito Federal,R$/13kg,2017-08-03,60.185
Brazil (LPG 13 kg bottle) - Rio de Janeiro,R$/13kg,2017-08-03,53.706
Burkina Faso  (12.5kg cylinder),XOF/cylinder,2017-08-03,5000
Cabo Verde (per kg), ECV/Kg,2017-08-03,115.7
Cameroon (12.5kg cylinder),XAF/cylinder,2017-08-03,6000
Central African Republic (36kg cylinder),XAF/cylinder,2017-08-03,500
Chile (LPG catalytic 5kg) - Metropolitan Region,CH$/liter,2017-08-03,7712.97709923664
Chile (LPG current 5kg) - Metropolitan Region,CH$/liter,2017-08-03,7255.36764705882
Congo (12.5kg cylinder),XAF/cylinder,2017-08-03,6600
Cote d'Ivoire (6kg cylinder),XOF/cylinder,2017-08-03,2000
Curacao (100 lb bottle),NAF per 100 lb bottle,2017-08-03,40
Curacao (20 lb bottle),NAF per 20 lb bottle,2017-08-03,8
Egypt (LGP 12.5kg),EGP/cylinder,2017-08-03,30
Egypt (LGP 25kg),EGP/cylinder,2017-08-03,60
El Salvador (10 lbs)- commercial,US$/cylinder,2017-08-03,4.33
El Salvador (10 lbs)- hh,US$/cylinder,2017-08-03,4.33
El Salvador (20 lbs)- commercial,US$/cylinder,2017-08-03,8.4
El Salvador (20 lbs)- hh,US$/cylinder,2017-08-03,8.4
El Salvador (25 lbs) - commercial,US$/cylinder,2017-08-03,10.41
El Salvador (25 lbs) - hh,US$/cylinder,2017-08-03,10.41
El Salvador (35 lbs) - commercial,US$/cylinder,2017-08-03,14.49
El Salvador (35 lbs) - hh,US$/cylinder,2017-08-03,14.49
Fiji (12kg cylinder) ,Fiji dollar per cylinder,2017-08-03,33.78
Fiji (4.5kg cylinder) ,Fiji dollar per cylinder,2017-08-03,12.67
Fiji (LPG per kg wholesale),Fiji dollar per kg,2017-08-03,2.39
Gabon (12.5kg cylinder),XAF/cylinder,2017-08-03,5450
Ghana (based on biweekly price survey),GHS/kg,2017-08-03,4.582800851133049
Grenada - LPG 20 lb cylinder ,EC$/cylinder,2017-08-03,40
Grenada - LPG 20 lb cylinder - Petrocaribe,EC$/cylinder,2017-08-03,37
Guatemala  - country regulated price (LPG 25lb cylinder,Q/Cylinder,2017-08-03,105
Honduras (LPG 25lb),HNL/cylinder,2017-08-03,263.07
India (14.2 kg subsidized) - Mumbai ,INR/cylinder,2017-08-03,60
India (14.2 kg subsidized) - New Delhi ,INR/cylinder,2017-08-03,477.5
India (14.2 kg unsubsidized) - Mumbai ,INR/cylinder,2017-08-03,502.5
India (14.2 kg unsubsidized) - New Delhi ,INR/cylinder,2017-08-03,524
India (5 kg unsubsidized) - Mumbai ,INR/cylinder,2017-08-03,186.5
India (5 kg unsubsidized) - New Delhi ,INR/cylinder,2017-08-03,194
Israel (LPG) - prices at refinery gate excluding taxes and duties,ILS/kg,2017-08-03,1.43947387
Jamaica (Butane),JMD/liter,2017-08-03,51.29200000000001
Jamaica (Propane),JMD/liter,2017-08-03,44.739999999999995
Jordan (LPG - 12.5kg),JD/CY,2017-08-03,7
Lebanon (LPG 10kg),LBP/cylinder,2017-08-03,13860
Malawi ,MWK/kg,2017-08-03,2076.02
Malaysia,RM/kg,2017-08-03,1.9
Malaysia (10 kg cylinder),RM/cylinder,2017-08-03,19
Malaysia (12kg cylinder),RM/cylinder,2017-08-03,22.8
Malaysia (14kg cylinder),RM/cylinder,2017-08-03,26.6
Martinique (LPG 12.5 kg cylinder),Eur/cylinder,2017-08-03,21.14
Mexico  - Baja California Region (Tijuana),peso/kg,2017-08-03,18.19678719342107
Mexico  - Mexico Region,peso/kg,2017-08-03,15.292101139022066
Mexico  - Mexico City,peso/kg,2017-08-03,15.30642724699991
Mozambique,metical/kg,2017-08-03,48.91
Nicaragua (LPG 25lb),córdobas/cylinder,2017-08-03,286.30392156862746
Niger (12.5 kg cylinder),XOF/cylinder,2017-08-03,3750
Niger (3 kg cylinder),XOF/cylinder,2017-08-03,900
Niger (6 kg cylinder),XOF/cylinder,2017-08-03,1800
Niger (per kg),XOF/kg,2017-08-03,300
Nigeria (5kg cylinder refilling) - Abuja,NGN/cylinder,2017-08-03,1740
Nigeria (5kg cylinder refilling) - Lagos,NGN/cylinder,2017-08-03,1889.4736842105262
Nigeria (5kg cylinder refilling)- Kano,NGN/cylinder,2017-08-03,1800
Peru (Petroperu Calla district where Lima is),soles/gallon,2017-08-03,1.83
Senegal (6kg cylinder),XOF/cylinder,2017-08-03,2885
South Africa - Coastal Regions,South African cents/kg,2017-08-03,2092
South Africa - Gauteng Region,South African cents/kg,2017-08-03,1904
Syria (LPG subsidized 10kg),lira/cylinder,2017-08-03,2500
Thailand (LPG cooking) - Ex-refinery Price,Baht/kg,2017-08-03,16.088087096774192
Thailand (LPG cooking) - Retail Price,Baht/kg,2017-08-03,20.49
Thailand (LPG industry) - Ex-refinery Price,Baht/kg,2017-08-03,16.088087096774192
Thailand (LPG industry) - Retail Price,Baht/kg,2017-08-03,20.49
Thailand (LPG low income hh) - Ex-refinery Price,Baht/kg,2017-08-03,16.088087096774192
Thailand (LPG low income hh) - Retail Price,Baht/kg,2017-08-03,18.13
Togo (12.5kg bottle),XOF/cylinder,2017-08-03,6500
Togo (6kg bottle),XOF/cylinder,2017-08-03,3120
Uruguay,UYU/kg,2017-08-03,37.80 
West Bank & Gaza (LPG 12kg),Sheker/Cylinder,2017-08-03,53
West Bank & Gaza (LPG 48kg),Sheker/Cylinder,2017-08-03,212
West Bank & Gaza (LPG 5kg),Sheker/Cylinder,2017-08-03,22
Angola (LPG) ,kwanzas/kg,2017-09-03,100
Belize (100 lbs),BEL$/cylinder,2017-09-03,99.02
Benin (LPG 12.5 Kg) -Cotonou ,XOF/cylinder,2017-09-03,6375
Benin (LPG 6kg) -Cotonou ,XOF/cylinder,2017-09-03,3225
Brazil (LPG 13 kg bottle) - Country Average,R$/13kg,2017-09-03,59.451
Brazil (LPG 13 kg bottle) - Distrito Federal,R$/13kg,2017-09-03,60.451
Brazil (LPG 13 kg bottle) - Rio de Janeiro,R$/13kg,2017-09-03,57.286
Burkina Faso  (12.5kg cylinder),XOF/cylinder,2017-09-03,5000
Cabo Verde (per kg), ECV/Kg,2017-09-03,126.2
Cameroon (12.5kg cylinder),XAF/cylinder,2017-09-03,6000
Central African Republic (36kg cylinder),XAF/cylinder,2017-09-03,500
Chile (LPG catalytic 5kg) - Metropolitan Region,CH$/liter,2017-09-03,7482.90076335878
Chile (LPG current 5kg) - Metropolitan Region,CH$/liter,2017-09-03,7349.63235294118
Congo (12.5kg cylinder),XAF/cylinder,2017-09-03,6600
Curacao (100 lb bottle),NAF per 100 lb bottle,2017-09-03,40
Curacao (20 lb bottle),NAF per 20 lb bottle,2017-09-03,8
Egypt (LGP 12.5kg),EGP/cylinder,2017-09-03,30
Egypt (LGP 25kg),EGP/cylinder,2017-09-03,60
El Salvador (10 lbs)- commercial,US$/cylinder,2017-09-03,4.59
El Salvador (10 lbs)- hh,US$/cylinder,2017-09-03,4.59
El Salvador (20 lbs)- commercial,US$/cylinder,2017-09-03,8.92
El Salvador (20 lbs)- hh,US$/cylinder,2017-09-03,8.92
El Salvador (25 lbs) - commercial,US$/cylinder,2017-09-03,11.07
El Salvador (25 lbs) - hh,US$/cylinder,2017-09-03,11.07
El Salvador (35 lbs) - commercial,US$/cylinder,2017-09-03,15.41
El Salvador (35 lbs) - hh,US$/cylinder,2017-09-03,15.41
Fiji (12kg cylinder) ,Fiji dollar per cylinder,2017-09-03,33.78
Fiji (4.5kg cylinder) ,Fiji dollar per cylinder,2017-09-03,12.67
Fiji (LPG per kg wholesale),Fiji dollar per kg,2017-09-03,2.39
Gabon (12.5kg cylinder),XAF/cylinder,2017-09-03,5450
Ghana (based on biweekly price survey),GHS/kg,2017-09-03,4.709792321910973
Grenada - LPG 20 lb cylinder ,EC$/cylinder,2017-09-03,40
Grenada - LPG 20 lb cylinder - Petrocaribe,EC$/cylinder,2017-09-03,37
Guatemala  - country regulated price (LPG 25lb cylinder,Q/Cylinder,2017-09-03,105
Honduras (LPG 25lb),HNL/cylinder,2017-09-03,263.07
India (14.2 kg subsidized) - Mumbai ,INR/cylinder,2017-09-03,485.5
India (14.2 kg subsidized) - New Delhi ,INR/cylinder,2017-09-03,481.5
India (14.2 kg unsubsidized) - Mumbai ,INR/cylinder,2017-09-03,502.5
India (14.2 kg unsubsidized) - New Delhi ,INR/cylinder,2017-09-03,597.5
India (5 kg unsubsidized) - Mumbai ,INR/cylinder,2017-09-03,212.5
India (5 kg unsubsidized) - New Delhi ,INR/cylinder,2017-09-03,220
Israel (LPG) - prices at refinery gate excluding taxes and duties,ILS/kg,2017-09-03,1.83771
Jamaica (Butane),JMD/liter,2017-09-03,53.425
Jamaica (Propane),JMD/liter,2017-09-03,48.51
Jordan (LPG - 12.5kg),JD/CY,2017-09-03,7
Lebanon (LPG 10kg),LBP/cylinder,2017-09-03,14825
Malawi ,MWK/kg,2017-09-03,2076.02
Malaysia,RM/kg,2017-09-03,1.9
Malaysia (10 kg cylinder),RM/cylinder,2017-09-03,19
Malaysia (12kg cylinder),RM/cylinder,2017-09-03,22.8
Malaysia (14kg cylinder),RM/cylinder,2017-09-03,26.6
Martinique (LPG 12.5 kg cylinder),Eur/cylinder,2017-09-03,21.53
Mexico  - Baja California Region (Tijuana),peso/kg,2017-09-03,18.28449429382994
Mexico  - Mexico Region,peso/kg,2017-09-03,15.99478136720372
Mexico  - Mexico City,peso/kg,2017-09-03,16.01477190374698
Mozambique,metical/kg,2017-09-03,58.04
Nicaragua (LPG 25lb),córdobas/cylinder,2017-09-03,300.375
Niger (12.5 kg cylinder),XOF/cylinder,2017-09-03,3750
Niger (3 kg cylinder),XOF/cylinder,2017-09-03,900
Niger (6 kg cylinder),XOF/cylinder,2017-09-03,1800
Niger (per kg),XOF/kg,2017-09-03,300
Nigeria (5kg cylinder refilling) - Abuja,NGN/cylinder,2017-09-03,2040
Nigeria (5kg cylinder refilling) - Lagos,NGN/cylinder,2017-09-03,2031.578947368421
Nigeria (5kg cylinder refilling)- Kano,NGN/cylinder,2017-09-03,1750
Peru (Petroperu Calla district where Lima is),soles/gallon,2017-09-03,1.83
Senegal (6kg cylinder),XOF/cylinder,2017-09-03,2885
South Africa - Coastal Regions,South African cents/kg,2017-09-03,1990
South Africa - Gauteng Region,South African cents/kg,2017-09-03,2178
Syria (LPG subsidized 10kg),lira/cylinder,2017-09-03,2500
Thailand (LPG cooking) - Ex-refinery Price,Baht/kg,2017-09-03,17.457186666666665
Thailand (LPG cooking) - Retail Price,Baht/kg,2017-09-03,21.04183333333334
Thailand (LPG industry) - Ex-refinery Price,Baht/kg,2017-09-03,17.457186666666665
Thailand (LPG industry) - Retail Price,Baht/kg,2017-09-03,21.04183333333334
Thailand (LPG low income hh) - Ex-refinery Price,Baht/kg,2017-09-03,17.457186666666665
Thailand (LPG low income hh) - Retail Price,Baht/kg,2017-09-03,18.56
Togo (12.5kg bottle),XOF/cylinder,2017-09-03,6500
Togo (6kg bottle),XOF/cylinder,2017-09-03,3120
Uruguay,UYU/kg,2017-09-03,37.80 
West Bank & Gaza (LPG 12kg),Sheker/Cylinder,2017-09-03,55
West Bank & Gaza (LPG 48kg),Sheker/Cylinder,2017-09-03,220
West Bank & Gaza (LPG 5kg),Sheker/Cylinder,2017-09-03,23
Angola (LPG) ,kwanzas/kg,2017-10-03,100
Argentina (LPG),Argentine Peso per litre,2017-10-03,9.99
Belize (100 lbs),BEL$/cylinder,2017-10-03,99.51
Benin (LPG 12.5 Kg) -Cotonou ,XOF/cylinder,2017-10-03,6500
Benin (LPG 6kg) -Cotonou ,XOF/cylinder,2017-10-03,3300
Brazil (LPG 13 kg bottle) - Country Average,R$/13kg,2017-10-03,63.208
Brazil (LPG 13 kg bottle) - Distrito Federal,R$/13kg,2017-10-03,65.273
Brazil (LPG 13 kg bottle) - Rio de Janeiro,R$/13kg,2017-10-03,60.566
Burkina Faso  (12.5kg cylinder),XOF/cylinder,2017-10-03,5000
Cabo Verde (per kg), ECV/Kg,2017-10-03,129.9
Cameroon (12.5kg cylinder),XAF/cylinder,2017-10-03,6000
Central African Republic (36kg cylinder),XAF/cylinder,2017-10-03,500
Chile (LPG catalytic 5kg) - Metropolitan Region,CH$/liter,2017-10-03,7952.0202020202
Chile (LPG current 5kg) - Metropolitan Region,CH$/liter,2017-10-03,7827.77777777778
Congo (12.5kg cylinder),XAF/cylinder,2017-10-03,6600
Curacao (100 lb bottle),NAF per 100 lb bottle,2017-10-03,40
Curacao (20 lb bottle),NAF per 20 lb bottle,2017-10-03,8
Egypt (LGP 12.5kg),EGP/cylinder,2017-10-03,30
Egypt (LGP 25kg),EGP/cylinder,2017-10-03,60
El Salvador (10 lbs)- commercial,US$/cylinder,2017-10-03,4.9
El Salvador (10 lbs)- hh,US$/cylinder,2017-10-03,4.9
El Salvador (20 lbs)- commercial,US$/cylinder,2017-10-03,9.54
El Salvador (20 lbs)- hh,US$/cylinder,2017-10-03,9.54
El Salvador (25 lbs) - commercial,US$/cylinder,2017-10-03,11.84
El Salvador (25 lbs) - hh,US$/cylinder,2017-10-03,11.84
El Salvador (35 lbs) - commercial,US$/cylinder,2017-10-03,16.49
El Salvador (35 lbs) - hh,US$/cylinder,2017-10-03,16.49
Fiji (12kg cylinder) ,Fiji dollar per cylinder,2017-10-03,33.55
Fiji (4.5kg cylinder) ,Fiji dollar per cylinder,2017-10-03,12.58
Fiji (LPG per kg wholesale),Fiji dollar per kg,2017-10-03,2.38
Gabon (12.5kg cylinder),XAF/cylinder,2017-10-03,5450
Ghana (based on biweekly price survey),GHS/kg,2017-10-03,4.777248860754476
Grenada - LPG 20 lb cylinder ,EC$/cylinder,2017-10-03,40
Grenada - LPG 20 lb cylinder - Petrocaribe,EC$/cylinder,2017-10-03,37
Guatemala  - country regulated price (LPG 25lb cylinder,Q/Cylinder,2017-10-03,105
Honduras (LPG 25lb),HNL/cylinder,2017-10-03,263.07
India (14.2 kg subsidized) - Mumbai ,INR/cylinder,2017-10-03,487
India (14.2 kg subsidized) - New Delhi ,INR/cylinder,2017-10-03,483
India (14.2 kg unsubsidized) - Mumbai ,INR/cylinder,2017-10-03,625
India (14.2 kg unsubsidized) - New Delhi ,INR/cylinder,2017-10-03,649
India (5 kg unsubsidized) - Mumbai ,INR/cylinder,2017-10-03,229.5
India (5 kg unsubsidized) - New Delhi ,INR/cylinder,2017-10-03,238
Israel (LPG) - prices at refinery gate excluding taxes and duties,ILS/kg,2017-10-03,1.8988900000000002
Jamaica (Butane),JMD/liter,2017-10-03,54.685
Jamaica (Propane),JMD/liter,2017-10-03,50.485
Jordan (LPG - 12.5kg),JD/CY,2017-10-03,7
Lebanon (LPG 10kg),LBP/cylinder,2017-10-03,15150
Malaysia,RM/kg,2017-10-03,1.9
Malaysia (10 kg cylinder),RM/cylinder,2017-10-03,19
Malaysia (12kg cylinder),RM/cylinder,2017-10-03,22.8
Malaysia (14kg cylinder),RM/cylinder,2017-10-03,26.6
Martinique (LPG 12.5 kg cylinder),Eur/cylinder,2017-10-03,22.68
Mexico  - Baja California Region (Tijuana),peso/kg,2017-10-03,19.00049977283186
Mexico  - Mexico Region,peso/kg,2017-10-03,17.559537805486205
Mexico  - Mexico City,peso/kg,2017-10-03,17.47900820048375
Mozambique,metical/kg,2017-10-03,58.04
Nicaragua (LPG 25lb),córdobas/cylinder,2017-10-03,322.98039215686276
Niger (12.5 kg cylinder),XOF/cylinder,2017-10-03,3750
Niger (3 kg cylinder),XOF/cylinder,2017-10-03,900
Niger (6 kg cylinder),XOF/cylinder,2017-10-03,1800
Niger (per kg),XOF/kg,2017-10-03,300
Nigeria (5kg cylinder refilling) - Abuja,NGN/cylinder,2017-10-03,2400
Nigeria (5kg cylinder refilling) - Lagos,NGN/cylinder,2017-10-03,2400
Nigeria (5kg cylinder refilling)- Kano,NGN/cylinder,2017-10-03,2400
Peru (Petroperu Calla district where Lima is),soles/gallon,2017-10-03,1.83
Senegal (6kg cylinder),XOF/cylinder,2017-10-03,2885
South Africa - Coastal Regions,South African cents/kg,2017-10-03,2028
South Africa - Gauteng Region,South African cents/kg,2017-10-03,2217
Syria (LPG subsidized 10kg),lira/cylinder,2017-10-03,2500
Thailand (LPG cooking) - Ex-refinery Price,Baht/kg,2017-10-03,20.331319354838712
Thailand (LPG cooking) - Retail Price,Baht/kg,2017-10-03,21.15
Thailand (LPG industry) - Ex-refinery Price,Baht/kg,2017-10-03,20.331319354838712
Thailand (LPG industry) - Retail Price,Baht/kg,2017-10-03,21.15
Thailand (LPG low income hh) - Ex-refinery Price,Baht/kg,2017-10-03,20.331319354838712
Thailand (LPG low income hh) - Retail Price,Baht/kg,2017-10-03,18.65
Togo (12.5kg bottle),XOF/cylinder,2017-10-03,6500
Togo (6kg bottle),XOF/cylinder,2017-10-03,3120
Uruguay,UYU/kg,2017-10-03,37.80 
West Bank & Gaza (LPG 12kg),Sheker/Cylinder,2017-10-03,57
West Bank & Gaza (LPG 48kg),Sheker/Cylinder,2017-10-03,228
West Bank & Gaza (LPG 5kg),Sheker/Cylinder,2017-10-03,57
Angola (LPG) ,kwanzas/kg,2017-11-03,100
Belize (100 lbs),BEL$/cylinder,2017-11-03,99.4
Benin (LPG 12.5 Kg) -Cotonou ,XOF/cylinder,2017-11-03,6500
Benin (LPG 6kg) -Cotonou ,XOF/cylinder,2017-11-03,3300
Brazil (LPG 13 kg bottle) - Country Average,R$/13kg,2017-11-03,65.186
Brazil (LPG 13 kg bottle) - Distrito Federal,R$/13kg,2017-11-03,68.759
Brazil (LPG 13 kg bottle) - Rio de Janeiro,R$/13kg,2017-11-03,60.913
Burkina Faso  (12.5kg cylinder),XOF/cylinder,2017-11-03,5000
Cabo Verde (per kg), ECV/Kg,2017-11-03,131.7
Cameroon (12.5kg cylinder),XAF/cylinder,2017-11-03,6000
Central African Republic (36kg cylinder),XAF/cylinder,2017-11-03,500
Chile (LPG catalytic 5kg) - Metropolitan Region,CH$/liter,2017-11-03,8048.9898989899
Chile (LPG current 5kg) - Metropolitan Region,CH$/liter,2017-11-03,7921.71717171717
Congo (12.5kg cylinder),XAF/cylinder,2017-11-03,6600
Curacao (100 lb bottle),NAF per 100 lb bottle,2017-11-03,40
Curacao (20 lb bottle),NAF per 20 lb bottle,2017-11-03,8
Egypt (LGP 12.5kg),EGP/cylinder,2017-11-03,30
Egypt (LGP 25kg),EGP/cylinder,2017-11-03,60
El Salvador (10 lbs)- commercial,US$/cylinder,2017-11-03,5.04
El Salvador (10 lbs)- hh,US$/cylinder,2017-11-03,5.04
El Salvador (20 lbs)- commercial,US$/cylinder,2017-11-03,9.81
El Salvador (20 lbs)- hh,US$/cylinder,2017-11-03,9.81
El Salvador (25 lbs) - commercial,US$/cylinder,2017-11-03,12.18
El Salvador (25 lbs) - hh,US$/cylinder,2017-11-03,12.18
El Salvador (35 lbs) - commercial,US$/cylinder,2017-11-03,16.96
El Salvador (35 lbs) - hh,US$/cylinder,2017-11-03,16.96
Fiji (12kg cylinder) ,Fiji dollar per cylinder,2017-11-03,33.55
Fiji (4.5kg cylinder) ,Fiji dollar per cylinder,2017-11-03,12.58
Fiji (LPG per kg wholesale),Fiji dollar per kg,2017-11-03,2.38
Gabon (12.5kg cylinder),XAF/cylinder,2017-11-03,5450
Ghana (based on biweekly price survey),GHS/kg,2017-11-03,4.912205707753555
Grenada - LPG 20 lb cylinder ,EC$/cylinder,2017-11-03,40
Grenada - LPG 20 lb cylinder - Petrocaribe,EC$/cylinder,2017-11-03,37
Guatemala  - country regulated price (LPG 25lb cylinder,Q/Cylinder,2017-11-03,112.5
Honduras (LPG 25lb),HNL/cylinder,2017-11-03,263.07
India (14.2 kg unsubsidized) - Mumbai ,INR/cylinder,2017-11-03,718.5
India (14.2 kg unsubsidized) - New Delhi ,INR/cylinder,2017-11-03,742
India (5 kg unsubsidized) - New Delhi ,INR/cylinder,2017-11-03,270.5
Israel (LPG) - prices at refinery gate excluding taxes and duties,ILS/kg,2017-11-03,1.9448599999999998
Jamaica (Butane),JMD/liter,2017-11-03,53.67999999999999
Jamaica (Propane),JMD/liter,2017-11-03,51.529999999999994
Jordan (LPG - 12.5kg),JD/CY,2017-11-03,7
Lebanon (LPG 10kg),LBP/cylinder,2017-11-03,15400
Malaysia,RM/kg,2017-11-03,1.9
Malaysia (10 kg cylinder),RM/cylinder,2017-11-03,19
Malaysia (12kg cylinder),RM/cylinder,2017-11-03,22.8
Malaysia (14kg cylinder),RM/cylinder,2017-11-03,26.6
Martinique (LPG 12.5 kg cylinder),Eur/cylinder,2017-11-03,23.37
Mexico  - Baja California Region (Tijuana),peso/kg,2017-11-03,19.470053436790558
Mexico  - Mexico Region,peso/kg,2017-11-03,18.696523865582833
Mexico  - Mexico City,peso/kg,2017-11-03,18.62655627039551
Mozambique,metical/kg,2017-11-03,70.11
Nicaragua (LPG 25lb),córdobas/cylinder,2017-11-03,333.27941176470586
Niger (12.5 kg cylinder),XOF/cylinder,2017-11-03,3750
Niger (3 kg cylinder),XOF/cylinder,2017-11-03,900
Niger (6 kg cylinder),XOF/cylinder,2017-11-03,1800
Niger (per kg),XOF/kg,2017-11-03,300
Nigeria (5kg cylinder refilling) - Abuja,NGN/cylinder,2017-11-03,2000
Nigeria (5kg cylinder refilling) - Lagos,NGN/cylinder,2017-11-03,2502.5
Nigeria (5kg cylinder refilling)- Kano,NGN/cylinder,2017-11-03,2550
Peru (Petroperu Calla district where Lima is),soles/gallon,2017-11-03,1.83
Senegal (6kg cylinder),XOF/cylinder,2017-11-03,2885
South Africa - Coastal Regions,South African cents/kg,2017-11-03,2045
South Africa - Gauteng Region,South African cents/kg,2017-11-03,2234
Syria (LPG subsidized 10kg),lira/cylinder,2017-11-03,2500
Thailand (LPG cooking) - Ex-refinery Price,Baht/kg,2017-11-03,20.507786666666668
Thailand (LPG cooking) - Retail Price,Baht/kg,2017-11-03,21.15
Thailand (LPG industry) - Ex-refinery Price,Baht/kg,2017-11-03,20.507786666666668
Thailand (LPG industry) - Retail Price,Baht/kg,2017-11-03,21.15
Thailand (LPG low income hh) - Ex-refinery Price,Baht/kg,2017-11-03,20.507786666666668
Thailand (LPG low income hh) - Retail Price,Baht/kg,2017-11-03,18.65
Togo (12.5kg bottle),XOF/cylinder,2017-11-03,6500
Togo (6kg bottle),XOF/cylinder,2017-11-03,3120
Uruguay,UYU/kg,2017-11-03,37.80 
West Bank & Gaza (LPG 12kg),Sheker/Cylinder,2017-11-03,59
West Bank & Gaza (LPG 48kg),Sheker/Cylinder,2017-11-03,236
West Bank & Gaza (LPG 5kg),Sheker/Cylinder,2017-11-03,25
Angola (LPG) ,kwanzas/kg,2017-12-03,100
Belize (100 lbs),BEL$/cylinder,2017-12-03,99
Benin (LPG 12.5 Kg) -Cotonou ,XOF/cylinder,2017-12-03,6500
Benin (LPG 6kg) -Cotonou ,XOF/cylinder,2017-12-03,3300
Brazil (LPG 13 kg bottle) - Country Average,R$/13kg,2017-12-03,66.529
Brazil (LPG 13 kg bottle) - Distrito Federal,R$/13kg,2017-12-03,68.878
Brazil (LPG 13 kg bottle) - Rio de Janeiro,R$/13kg,2017-12-03,61.879
Burkina Faso  (12.5kg cylinder),XOF/cylinder,2017-12-03,5000
Cabo Verde (per kg), ECV/Kg,2017-12-03,134
Cameroon (12.5kg cylinder),XAF/cylinder,2017-12-03,6500
Central African Republic (36kg cylinder),XAF/cylinder,2017-12-03,500
Chile (LPG catalytic 5kg) - Metropolitan Region,CH$/liter,2017-12-03,8215.19607843137
Chile (LPG current 5kg) - Metropolitan Region,CH$/liter,2017-12-03,8087.74509803922
